"source_hr","preferred_target","context","avoid","handling","status"
"A1","A1","品牌名/运营商名","爱一","保持原样","locked"
"Moj A1","Moj A1","应用与品牌名","我的 A1","保持原样；不要写成 MojA1，除非源界面如此","locked"
"korisnik","用户","一般用户身份","客户（无业务上下文时）","按界面语气使用","draft"
"A1 korisnik","A1 用户","A1 客户身份/预登录页面","A1 使用者","固定译法","draft"
"račun","账户","登录、注册、绑定、个人资料上下文","账单","必须由页面上下文判定","context_required"
"račun","账单","计费、付款、下载发票、到期日上下文","账户","必须由页面上下文判定","context_required"
"Poveži račun","关联账户","预登录的账户绑定入口","关联账单","固定译法","draft"
"tarifa","套餐","移动通信资费/计划","费率（面向消费者界面）","固定译法；法律文本可按上下文处理","draft"
"potrošnja","用量","流量、通话、短信使用情况","消费（用量页面）","与数值及单位分离替换","draft"
"bon","充值券","预付费凭证本体","奖金","若特指号码则译充值码","context_required"
"kod bona","充值码","充值券上的代码","优惠码","不得改变代码值","draft"
"nadoplata","充值","预付费余额增加","补充","固定译法","draft"
"mreža","网络","电信网络","网格","固定译法","draft"
"A1 mreža","A1 网络","运营商网络","A1 网","固定译法","draft"
"mobilna linija","手机号/移动线路","号码携转时优先手机号；技术或合同语境用移动线路","移动线","按上下文判定","context_required"
"fiksna linija","固定线路","固话或固定接入线路","固定线","若明确为电话可译固定电话线路","draft"
"broj mobitela","手机号","表单字段和账户信息","移动号码（普通界面）","不得改变号码值","draft"
"prijava","登录","身份验证入口","报名","固定译法","draft"
"odjava","退出登录","账户会话操作","注销（除非确为销户）","固定译法","draft"
"korisničko ime","用户名","登录凭据","用户名称","不得读取或记录实际用户名","draft"
"lozinka","密码","登录凭据","口令（普通界面）","不得读取、记录或替换实际密码","draft"
"biometrija","生物识别","登录与安全设置","生物统计","固定译法","draft"
"otisak prsta","指纹","生物识别","手指印","固定译法","draft"
"skeniranje lica","人脸识别","生物识别登录","扫描脸部","固定译法","draft"
"usluga","服务","运营商产品/服务","业务（无上下文时）","套餐办理页可译服务或业务","draft"
"aktivacija","开通","号码、套餐或服务启用","激活（运营商服务上下文）","设备激活场景可用激活","context_required"
"instalacija","安装","设备/固定服务上门安装","装置","固定译法","draft"
"termin","预约时间","技术人员上门、门店预约","期限","若仅表示可选时段可译时段","context_required"
"tehničar","技术人员","安装/维修上门服务","技术员（可用但不优先）","固定译法","draft"
"podatkovni promet","数据流量","移动数据用量","数据交通","数值与 MB/GB 保持原样","draft"
"roaming","漫游","境外通信","漫游服务（可接受）","固定译法","draft"
"ugovor","合同","订购与法律页面","协议（无审核时）","法律正文保留原文或中克双语","needs_legal_review"
"korisnička podrška","客户支持","帮助/客服入口","用户支持（面向消费者界面）","按钮空间不足时可用客服","draft"
"obavijest","通知","消息与系统通知","公告（除非确为公告）","按上下文判定","draft"
"dug","欠费/未结金额","账单余额","债务（普通消费界面）","必须保留金额、币种和正负号","context_required"
"datum dospijeća","到期日","账单付款期限","成熟日期","不得改变日期值或格式","draft"
"broj računa","账单编号/账户号码","账单编号或客户账户号码","统一译成账号","必须结合字段所在页面判定","context_required"
"OIB","OIB（克罗地亚个人识别号）","身份/合同字段","翻译或改写号码","首处可加中文说明，值保持原样","locked"
"IBAN","IBAN","银行账户字段","银行卡号","保持标签与值原样；必要时首处说明国际银行账号","locked"
"PIN","PIN","安全码","个人识别号码（按钮内展开）","标签与值保持原样","locked"
"PUK","PUK","SIM 解锁码","密码","标签与值保持原样","locked"
"MB / GB / TB","MB / GB / TB","数据单位","兆/吉字节与源数值混用","单位符号和数值保持原样","locked"
"€ / EUR","€ / EUR","货币符号与代码","欧元（替换符号）","保留源符号、金额、小数位和正负号","locked"
"na bonove","预付费","预付费移动业务","使用充值券（套餐类型名称）","按产品名称上下文审校","context_required"
"pretplata","后付费/订阅","电信付费类型优先后付费；一般订阅场景用订阅","预订","按业务类型判定","context_required"
"SMS","短信","短信数量或功能","短消息服务（普通按钮）","SMS 作为单位时保持 SMS","draft"
"poziv","通话/呼叫","用量用通话；动作或来电用呼叫","电话（所有上下文）","按页面上下文判定","context_required"
